Name,Title,Email
Maria Apostolaki,Assistant Professor of Electrical and Computer Engineering,
Ravindra N. Bhatt,Professor of Electrical and Computer Engineering,
Minjie Chen,Associate Professor of Electrical and Computer Engineering,
Stephen Y. Chou,Joseph C. Elgin Professor of Engineering (Electrical Engineering),
Nathalie de Leon,Associate Professor of Electrical and Computer Engineering,
Jaime Fernández Fisac,Assistant Professor of Electrical and Computer Engineering,
Jason W. Fleischer,Professor of Electrical and Computer Engineering,
Tian-Ming Fu,Assistant Professor of Electrical and Computer Engineering,
Yasaman Ghasempour,Assistant Professor of Electrical and Computer Engineering,
Claire Gmachl,Eugene Higgins Professor of Electrical and Computer Engineering (Department Chair),
