Name,Title,Email
Richard Kuhn,Trent and Judith Anderson Distinguished Professor of Biological Sciences (virology),
Dennis Minchella,Professor of Biological Sciences,
Donna Fekete,Professor of Biological Sciences,
Peter Hollenbeck,Professor of Biological Sciences (Interim Department Head),
Barbara Golden,Professor of Biochemistry (affiliated with Biological Sciences),
Jeffrey Lucas,Professor of Biological Sciences,
Xiao Cheng Zeng,Professor of Biological Sciences,
Clinton Carroll,Associate Professor of Biological Sciences,
Stephanie Gardner,Associate Professor of Biological Sciences,
Michael Rossmann,Hanley Distinguished Professor of Biological Sciences (Emeritus),
