Name,Title,Email
Arvind Varma,R. Games Slayter Distinguished Professor of Chemical Engineering (Emeritus),
Rakesh Agrawal,Winthrop E. Stone Distinguished Professor of Chemical Engineering,
Fabio Ribeiro,Professor of Chemical Engineering,
Linda Wang,Maxine Spencer Nichols Professor of Chemical Engineering,
Jeffrey Miller,Professor of Chemical Engineering,
David Corti,Professor of Chemical Engineering,
Julie Liu,Associate Professor of Chemical Engineering,
Vilas Pol,Professor of Chemical Engineering,
Raj Gounder,Associate Professor of Chemical Engineering,
Yuan Yao,Assistant Professor of Chemical Engineering,
