Name,Title,Email
Jeffrey S. Braun,Professor of Civil Engineering (Interim Head),
James G. VO,Professor of Civil Engineering,
Luna Lu,A. P. Jamison Professor of Civil Engineering,
Sotirios T. Kotsovinos,Associate Professor of Civil Engineering,
Jan Olek,Professor of Civil Engineering,
Jill S. Bolander,Associate Professor of Civil Engineering,
Andrew Whelton,Associate Professor of Civil Engineering and Environmental Engineering,
John Sutherland,Professor of Environmental & Ecological Engineering,
Mahdi Abu-Omar,"Professor of Environmental Engineering (Courtesy, ChemE)",
Alejandro R. Gutierrez,Assistant Professor of Civil Engineering,
