Name,Title,Email
Anil Bajaj,Alpha P. Jamison Professor of Mechanical Engineering,
Jay P. Gore,Reilly University Professor of Combustion Engineering,
Tamiko Katsumoto,Professor of Mechanical Engineering,
George Chiu,Professor of Mechanical Engineering,
Marissa Tousley,Assistant Professor of Mechanical Engineering,
Terry S. Meyer,Professor of Mechanical Engineering,
Jeffrey Rhoads,Professor of Mechanical Engineering,
Patricia Davies,Professor of Mechanical Engineering,
Ivan Arnold,Associate Professor of Mechanical Engineering,
Monica Cox,Professor of Engineering Education (courtesy ME),
