Name,Title,Email
Robert W. Proctor,Distinguished Professor of Psychological Sciences,
Alice M. Zweig,Professor of Psychological Sciences,
Susan S. Schweitzer,Professor of Psychological Sciences,
Christopher Agnew,Professor of Psychological Sciences,
Zachary Gray,Associate Professor of Psychological Sciences,
Tiffany L. Jones,Associate Professor of Psychological Sciences,
Daniel Foti,Associate Professor of Clinical Psychology,
Julia Chester,Professor of Psychological Sciences,
William Graziano,Professor of Psychological Sciences,
Elliot Friedman,"Associate Professor (Neuroscience, affiliated with Psychological Sciences)",
