Name,Title,Email
Beth Winkelstein,Professor of Bioengineering (Vice Provost),
Dan H. Huh,Associate Professor of Bioengineering,
Susan Margulies,Professor of Bioengineering,
Ravi Radhakrishna,Associate Professor of Bioengineering,
Desmond Sheridan,Assistant Professor of Bioengineering,
Kathleen Stebe,"Richer & Elizabeth Goodwin Professor (BioE, secondary in ChemE)",
Jason Burdick,Professor of Bioengineering,
Shelly Sakiyama-Elbert,Professor of Bioengineering (Dept. Chair),
Kenneth L. Shuler,Lecturer in Bioengineering,
Muhammad K. Khan,Lecturer in Bioengineering,
