Name,Title,Email
John M. Vohs,Carl V. S. Patterson Professor of Chemical Engineering (Dept. Chair),
Raymond J. Gorte,Professor of Chemical Engineering,
Karen I. Winey,Harold Pender Professor (CBE & Materials Science),
Scott J. Phillips,Professor of Chemical Engineering,
Andrew J. P. Smith,Associate Professor of Chemical Engineering,
Amish Patel,Associate Professor of Chemical Engineering,
Daeyeon Lee,Professor of Chemical Engineering,
Cherie Kagan,Professor of CBE (and ESE),
Russell Composto,Professor of CBE (and Materials Science),
Vanessa Chan,Practice Professor of Innovation (CBE),
