Name,Title,Email
Martin E. Seligman,Zellerbach Family Professor of Psychology,
Angela L. Duckworth,Rosa Lee & Egbert Chang Professor of Psychology,
Michael Kahana,Professor of Psychology,
Joseph Kable,Baird Term Professor of Psychology,
Elizabeth (Liz) Phelps,Pershing Square Professor of Psychology,
Russell Epstein,Professor of Psychology,
Robert DeRubeis,Samuel H. Preston Term Professor of Psychology,
Adrian Raine,"Professor of Criminology, Psychiatry, and Psychology",
Diana Tamir,Assistant Professor of Psychology,
Sharon Thompson-Schill,Christopher H. Browne Distinguished Professor of Psychology,
